AccusedMasterID,CaseMasterID,PersonID,GenderID,AgeYear,District,ModusOperandi,RepeatIdentity
1,1,A1,M,34,Bidar,Break-in via Rear Entry,1
2,2,A1,F,32,Bengaluru City,Group Attack (Prior Enmity),2
3,3,A1,M,19,Hassan,Forged Document Trail,3
4,4,A1,M,32,Belagavi,Sudden Armed Assault,4
5,5,A1,M,20,Belagavi,Shell Company Cheating,5
6,5,A2,M,48,Belagavi,Forged Document Trail,6
7,5,A3,M,20,Belagavi,Cheque Bounce Fraud,7
8,6,A1,M,30,Mysuru,Shell Company Cheating,8
9,8,A1,F,26,Bengaluru Rural,Weapon-Assisted Assault,9
10,9,A1,M,24,Bengaluru Rural,Known-Person Domestic Abuse,10
11,10,A1,M,27,Chamarajanagar,Chit Fund Default,11
12,11,A1,M,22,Mysuru,Night-time House Break-in,12
13,12,A1,M,26,Yadgir,Cheque Bounce Fraud,13
14,12,A2,M,31,Yadgir,Shell Company Cheating,14
15,13,A1,M,18,Belagavi,Home Cultivation/Storage,15
16,14,A1,M,31,Bengaluru Rural,Sudden Armed Assault,16
17,15,A1,M,21,Shivamogga,Home Cultivation/Storage,17
18,15,A2,M,27,Shivamogga,Cross-Border Transit Route,18
19,16,A1,M,40,Kolar,Break-in via Rear Entry,19
20,16,A2,M,17,Kolar,Break-in via Rear Entry,20
21,18,A1,M,28,Mysuru,Sudden Armed Assault,21
22,18,A2,M,41,Mysuru,Sudden Armed Assault,22
23,19,A1,F,23,Bengaluru Rural,Social-Media Incited Assembly,23
24,21,A1,M,25,Mangaluru (Dakshina Kannada),Workplace Harassment,24
25,22,A1,M,34,Belagavi,Known-Person Domestic Abuse,25
26,22,A2,M,32,Belagavi,Known-Person Domestic Abuse,26
27,24,A1,M,31,Bidar,Group Attack (Prior Enmity),27
28,25,A1,M,34,Kodagu,Dowry-Related Coercion,28
29,26,A1,F,33,Tumakuru,Workplace Harassment,29
30,27,A1,F,17,Mangaluru (Dakshina Kannada),Known-Person Domestic Abuse,30
31,27,A2,M,16,Mangaluru (Dakshina Kannada),Stalking Prior to Offence,31
32,28,A1,M,21,Ballari,Weapon-Assisted Assault,32
33,28,A2,M,31,Ballari,Weapon-Assisted Assault,33
34,29,A1,M,33,Chikkamagaluru,Break-in via Rear Entry,34
35,30,A1,M,21,Koppal,Stalking Prior to Offence,35
36,31,A1,M,36,Belagavi,Vehicle Theft (Parked),36
37,32,A1,F,31,Davanagere,Break-in via Rear Entry,37
38,32,A2,M,16,Davanagere,Shop Lock-Break,38
39,33,A1,M,16,Shivamogga,Group Attack (Prior Enmity),39
40,34,A1,M,35,Mangaluru (Dakshina Kannada),Dowry-Related Coercion,40
41,34,A2,M,16,Mangaluru (Dakshina Kannada),Known-Person Domestic Abuse,41
42,34,A3,M,39,Mangaluru (Dakshina Kannada),Known-Person Domestic Abuse,42
43,35,A1,M,16,Chamarajanagar,Stalking Prior to Offence,43
44,36,A1,F,29,Udupi,Weapon-Assisted Assault,44
45,37,A1,M,38,Bengaluru City,Forged Document Trail,45
46,37,A2,F,26,Bengaluru City,Cheque Bounce Fraud,46
47,38,A1,M,16,Bengaluru Rural,Cross-Border Transit Route,47
48,39,A1,M,25,Davanagere,Confrontation over Dispute,48
49,40,A1,M,28,Kalaburagi,Night-time House Break-in,49
50,41,A1,M,16,Bidar,SIM-Swap Fraud,50
51,42,A1,M,29,Mangaluru (Dakshina Kannada),Phishing Link / OTP Fraud,51
52,42,A2,M,32,Mangaluru (Dakshina Kannada),SIM-Swap Fraud,52
53,42,A3,M,23,Mangaluru (Dakshina Kannada),SIM-Swap Fraud,53
54,43,A1,F,31,Mangaluru (Dakshina Kannada),Social Media Impersonation,54
55,44,A1,M,22,Bengaluru City,Dowry-Related Coercion,55
56,44,A2,M,49,Bengaluru City,Stalking Prior to Offence,56
57,44,A3,M,32,Bengaluru City,Dowry-Related Coercion,57
58,45,A1,M,35,Bengaluru City,Dowry-Related Coercion,58
59,46,A1,M,22,Kodagu,Snatching in Transit,59
60,47,A1,M,31,Bengaluru Rural,Weapon-Assisted Assault,60
61,48,A1,M,37,Bagalkot,Organized Group Mobilization,61
62,48,A2,M,29,Bagalkot,Social-Media Incited Assembly,62
63,49,A1,M,23,Chamarajanagar,Snatching in Transit,63
64,49,A2,M,19,Chamarajanagar,Shop Lock-Break,64
65,51,A1,M,34,Chikkamagaluru,Vehicle Theft (Parked),65
66,52,A1,M,20,Belagavi,Shop Lock-Break,66
67,53,A1,M,44,Hassan,Confrontation over Dispute,67
68,54,A1,M,18,Hassan,Group Attack (Prior Enmity),68
69,54,A2,M,16,Hassan,Weapon-Assisted Assault,69
70,55,A1,M,34,Bengaluru City,Vehicle Theft (Parked),70
71,56,A1,M,23,Bidar,Courier via Public Transport,71
72,57,A1,M,36,Belagavi,Forged Document Trail,72
73,57,A2,M,35,Belagavi,Shell Company Cheating,73
74,58,A1,M,38,Haveri,Break-in via Rear Entry,74
75,59,A1,M,24,Ramanagara,Dowry-Related Coercion,75
76,60,A1,M,36,Ramanagara,Night-time House Break-in,76
77,60,A2,M,31,Ramanagara,Break-in via Rear Entry,77
78,61,A1,M,40,Mangaluru (Dakshina Kannada),Home Cultivation/Storage,78
79,61,A2,M,25,Mangaluru (Dakshina Kannada),Courier via Public Transport,79
80,61,A3,M,22,Mangaluru (Dakshina Kannada),Courier via Public Transport,80
81,62,A1,F,33,Chikkamagaluru,Shop Lock-Break,81
82,62,A2,M,27,Chikkamagaluru,Snatching in Transit,82
83,63,A1,M,37,Bagalkot,Sudden Armed Assault,83
84,64,A1,F,42,Belagavi,Cheque Bounce Fraud,84
85,65,A1,M,34,Tumakuru,Confrontation over Dispute,85
86,66,A1,F,29,Mangaluru (Dakshina Kannada),Known-Person Domestic Abuse,86
87,67,A1,M,16,Davanagere,Night-time House Break-in,87
88,68,A1,M,29,Bengaluru City,Group Attack (Prior Enmity),88
89,68,A2,M,37,Bengaluru City,Group Attack (Prior Enmity),89
90,69,A1,M,33,Tumakuru,Fake Investment App,90
91,70,A1,M,35,Hassan,Vehicle Theft (Parked),91
92,70,A2,M,23,Hassan,Shop Lock-Break,92
93,71,A1,F,27,Hassan,Snatching in Transit,93
94,71,A2,M,38,Hassan,Snatching in Transit,94
95,72,A1,M,21,Davanagere,Social Media Impersonation,95
96,72,A2,M,16,Davanagere,Fake Investment App,96
97,72,A3,M,23,Davanagere,SIM-Swap Fraud,97
98,73,A1,M,16,Yadgir,Cheque Bounce Fraud,98
99,73,A2,M,29,Yadgir,Chit Fund Default,99
100,74,A1,M,31,Shivamogga,Shop Lock-Break,100
101,75,A1,M,55,Bengaluru Rural,Shop Lock-Break,101
102,75,A2,M,22,Bengaluru Rural,Break-in via Rear Entry,102
103,75,A3,M,29,Bengaluru Rural,Shop Lock-Break,103
104,76,A1,M,29,Mangaluru (Dakshina Kannada),SIM-Swap Fraud,104
105,78,A1,M,19,Bengaluru Rural,Vehicle Theft (Parked),105
106,79,A1,M,18,Belagavi,Home Cultivation/Storage,106
107,80,A1,M,16,Mandya,Stalking Prior to Offence,107
108,81,A1,M,30,Bengaluru Rural,Fake Investment App,108
109,82,A1,M,29,Belagavi,Break-in via Rear Entry,109
110,82,A2,M,22,Belagavi,Shop Lock-Break,110
111,83,A1,M,16,Ballari,Workplace Harassment,111
112,84,A1,M,16,Bagalkot,Sudden Armed Assault,112
113,85,A1,M,34,Tumakuru,Shop Lock-Break,113
114,85,A2,M,35,Tumakuru,Break-in via Rear Entry,114
115,85,A3,F,21,Tumakuru,Shop Lock-Break,115
116,86,A1,M,34,Davanagere,Phishing Link / OTP Fraud,116
117,87,A1,F,25,Mangaluru (Dakshina Kannada),Weapon-Assisted Assault,117
118,88,A1,M,16,Kolar,Night-time House Break-in,118
119,88,A2,M,38,Kolar,Break-in via Rear Entry,119
120,90,A1,M,16,Chamarajanagar,Confrontation over Dispute,120
121,91,A1,M,47,Mysuru,Snatching in Transit,121
122,92,A1,M,26,Chamarajanagar,Known-Person Domestic Abuse,122
123,93,A1,M,16,Belagavi,Night-time House Break-in,123
124,95,A1,F,30,Gadag,Night-time House Break-in,124
125,96,A1,M,34,Mangaluru (Dakshina Kannada),Organized Group Mobilization,125
126,97,A1,M,32,Chamarajanagar,Weapon-Assisted Assault,126
127,98,A1,M,18,Bengaluru City,Group Attack (Prior Enmity),127
128,99,A1,F,31,Ramanagara,Phishing Link / OTP Fraud,128
129,100,A1,M,30,Bengaluru City,Cheque Bounce Fraud,129
