District,Population,UrbanizationPct,LiteracyRatePct,UnemploymentPct,PoliceStationCount
Bengaluru City,689285,65.9,82.8,9.9,10
Bengaluru Rural,522166,76.2,77.6,8.5,9
Mysuru,2297719,79.6,89.7,7.7,9
Mangaluru (Dakshina Kannada),500047,59.7,70.4,8.9,8
Belagavi,1617128,76.4,77.4,10.7,12
Kalaburagi,329674,31.3,76.2,5.7,6
Hubballi-Dharwad,881442,42.9,79.2,4.5,6
Ballari,307677,46.5,79.3,7.1,6
Tumakuru,1551937,54.1,74.1,6.3,8
Shivamogga,707997,42.6,78.4,4.7,7
Davanagere,926393,49.3,76.4,5.2,8
Vijayapura,614288,30.8,80.5,3.9,5
Raichur,411613,43.5,74.5,5.6,7
Bidar,462696,41.6,73.6,4.8,8
Chikkamagaluru,1312649,33.5,81.1,5.4,5
Udupi,543979,44.3,73.6,4.6,8
Kolar,300000,36.4,73.9,4.8,8
Mandya,1878314,35.4,77.5,3.5,7
Hassan,596869,53.9,80.1,5.6,5
Chitradurga,1315603,30.6,76.2,4.0,6
Koppal,485589,32.9,73.6,5.4,6
Yadgir,2142875,46.0,83.2,6.3,7
Chamarajanagar,1228087,57.8,69.2,7.3,8
Kodagu,1164452,49.0,78.8,7.2,7
Ramanagara,1071554,52.3,78.8,3.9,9
Chikkaballapur,517298,22.8,75.4,2.9,6
Bagalkot,1170759,26.5,71.2,5.0,6
Haveri,1571237,33.2,67.5,5.0,6
Gadag,672829,15.5,70.3,5.0,6
Uttara Kannada,300000,29.9,81.1,4.2,4
