VictimMasterID,CaseMasterID,GenderID,AgeYear
1,1,F,43
2,2,F,13
3,3,M,26
4,3,F,34
5,4,M,45
6,5,M,47
7,6,M,49
8,7,F,43
9,8,M,52
10,9,M,5
11,10,F,44
12,11,F,63
13,12,M,36
14,13,M,34
15,14,M,34
16,15,F,37
17,16,F,56
18,17,F,24
19,17,F,36
20,18,M,36
21,19,F,25
22,20,F,34
23,21,F,49
24,22,M,40
25,23,M,29
26,24,F,27
27,25,M,36
28,26,M,23
29,26,F,44
30,27,F,61
31,27,F,22
32,28,F,37
33,29,F,31
34,30,F,18
35,31,M,37
36,32,M,54
37,33,M,33
38,34,F,31
39,35,F,44
40,36,T,46
41,37,M,38
42,38,M,34
43,39,F,39
44,39,M,45
45,40,F,15
46,41,F,51
47,42,M,62
48,43,F,40
49,44,F,40
50,45,F,40
51,46,F,35
52,47,F,29
53,48,F,45
54,49,F,54
55,50,F,35
56,51,F,56
57,51,M,47
58,52,M,49
59,53,F,34
60,54,M,54
61,55,M,15
62,56,F,27
63,57,M,33
64,58,M,19
65,59,F,47
66,60,F,50
67,61,F,30
68,62,M,37
69,63,M,28
70,64,M,41
71,65,F,60
72,66,M,53
73,66,F,65
74,67,F,37
75,68,M,54
76,69,F,13
77,70,F,18
78,71,M,16
79,72,F,53
80,73,F,30
81,74,M,39
82,75,F,35
83,76,M,13
84,76,M,5
85,77,F,32
86,77,F,50
87,78,M,23
88,79,M,67
89,80,M,25
90,80,F,42
91,81,F,14
92,82,M,57
93,83,M,54
94,84,F,33
95,84,F,29
96,85,M,5
97,86,F,34
98,87,M,36
99,88,F,37
100,89,M,23
101,89,M,41
102,90,M,19
103,91,F,23
104,92,F,32
105,93,F,36
106,94,F,14
107,95,F,40
108,96,F,20
109,97,M,25
110,97,M,13
111,98,F,21
112,99,F,22
113,100,F,30
114,101,M,32
115,102,F,10
116,103,F,8
117,104,F,21
118,105,F,15
119,106,M,37
120,107,T,16
121,108,M,23
122,109,M,29
123,110,M,72
124,111,M,17
125,112,F,32
126,113,T,43
127,114,M,26
128,115,F,25
129,116,M,70
130,117,M,23
131,118,F,32
132,119,F,37
133,120,M,30
134,121,M,45
135,122,M,36
136,122,M,8
137,123,M,53
138,124,M,10
139,125,T,50
140,125,F,31
141,126,M,19
142,127,F,30
143,128,M,53
144,128,M,40
145,129,F,36
146,130,F,20
147,131,M,39
148,131,F,11
149,132,F,47
150,133,M,26
151,134,F,28
152,135,F,20
153,135,F,32
154,136,M,16
155,137,M,38
156,137,M,35
157,138,M,39
158,138,F,56
159,139,F,9
160,140,M,17
161,141,T,24
162,142,F,37
163,143,F,6
164,143,M,30
165,144,M,5
166,144,M,55
167,145,M,51
168,146,F,29
169,147,M,44
170,148,F,51
171,149,M,33
172,150,F,32
173,151,F,47
174,152,M,31
175,152,M,28
176,153,F,8
177,154,M,49
178,155,F,21
179,156,M,31
180,157,M,37
181,158,M,43
182,159,M,37
183,160,M,29
184,161,M,60
185,162,M,57
186,163,M,73
187,164,M,47
188,165,T,53
189,166,F,17
190,167,F,41
191,168,M,15
192,169,F,23
193,170,F,45
194,171,M,36
195,172,F,45
196,173,F,38
197,174,M,37
198,175,F,34
199,176,M,17
200,176,M,70
201,177,M,43
202,178,M,73
203,179,M,27
204,180,F,40
205,180,F,7
206,181,M,33
207,182,M,55
208,182,F,47
209,183,F,35
210,184,M,18
211,185,F,19
212,186,F,27
213,186,F,5
214,187,M,49
215,187,M,36
216,188,F,33
217,188,F,34
218,189,M,44
219,190,M,16
220,191,F,47
221,192,F,31
222,193,M,32
223,194,F,27
224,195,F,25
225,196,F,38
226,197,M,28
227,198,F,48
228,199,M,22
229,200,F,32
230,201,M,24
231,202,M,47
232,203,F,59
233,204,F,51
234,205,F,42
235,206,F,36
236,207,F,23
237,208,M,5
238,209,M,37
239,210,F,51
240,211,M,36
241,212,M,30
242,213,F,24
243,214,T,37
244,214,M,13
245,215,F,48
246,216,F,20
247,217,F,39
248,218,T,15
249,219,F,31
250,220,M,52
251,221,F,24
252,222,F,23
253,222,F,30
254,223,F,69
255,224,M,37
256,225,F,28
257,226,M,33
258,227,M,36
259,228,F,44
260,229,F,32
261,230,M,27
262,231,F,36
263,232,M,30
264,233,M,18
265,234,M,5
266,235,F,15
267,236,F,32
268,237,M,42
269,237,F,10
270,238,F,10
271,239,F,51
272,240,M,39
273,241,F,27
274,242,F,20
275,243,M,31
276,244,F,29
277,245,M,52
278,246,F,63
279,247,F,53
280,247,F,34
281,248,F,46
282,249,M,24
283,249,M,45
284,250,F,46
285,251,M,61
286,252,M,23
287,252,M,47
288,253,M,22
289,254,F,33
290,254,F,6
291,255,M,39
292,256,M,29
293,257,F,47
294,258,F,15
295,259,F,46
296,260,M,40
297,260,M,37
298,261,M,31
299,262,F,28
300,263,M,57
301,264,F,17
302,265,M,34
303,265,M,47
304,266,F,69
305,267,F,5
306,268,M,31
307,269,M,29
308,270,M,30
309,271,M,30
310,271,F,27
311,272,F,49
312,273,M,5
313,274,F,26
314,274,F,58
315,275,M,43
316,276,F,36
317,277,F,25
318,278,M,40
319,279,M,33
320,279,M,44
321,280,F,34
322,281,F,32
323,282,F,21
324,283,M,40
325,284,F,29
326,284,F,13
327,285,F,34
328,286,M,63
329,287,M,30
330,288,F,62
331,289,F,47
332,290,F,47
333,291,M,54
334,292,F,33
335,293,F,31
336,294,F,33
337,295,F,34
338,296,F,37
339,297,M,77
340,298,F,54
341,299,F,51
342,299,T,41
343,300,M,37
344,301,M,25
345,302,F,27
346,303,F,14
347,304,F,35
348,305,M,49
349,306,M,52
350,307,M,58
351,308,F,26
352,309,M,49
353,310,M,27
354,311,M,24
355,312,M,39
356,313,F,42
357,314,M,30
358,315,F,35
359,316,F,28
360,316,F,32
361,317,F,27
362,318,F,14
363,319,M,23
364,320,M,25
365,321,F,28
366,322,M,12
367,323,F,33
368,324,F,34
369,325,M,28
370,326,F,17
371,327,F,19
372,328,M,19
373,329,F,53
374,330,M,5
375,331,F,54
376,332,M,44
377,333,F,11
378,334,F,34
379,335,F,61
380,335,F,8
381,336,F,21
382,337,F,39
383,338,F,31
384,339,F,50
385,340,F,38
386,341,M,45
387,342,F,21
388,342,T,35
389,343,M,59
390,344,F,53
391,345,F,28
392,346,F,38
393,347,M,61
394,347,F,52
395,348,F,19
396,349,M,43
397,350,F,14
398,350,F,16
399,351,M,16
400,352,M,44
401,353,M,12
402,353,F,38
403,354,T,42
404,355,F,25
405,356,M,26
406,357,M,25
407,358,F,25
408,359,M,44
409,360,M,46
410,360,M,13
411,361,F,38
412,362,M,37
413,363,M,21
414,364,F,41
415,365,M,26
416,366,M,54
417,366,M,18
418,367,M,36
419,368,M,30
420,369,M,25
421,369,M,42
422,370,M,20
423,371,F,33
424,372,F,47
425,373,F,16
426,374,F,23
427,375,M,18
428,376,M,42
429,377,M,62
430,378,M,22
431,378,M,36
432,379,F,36
433,380,F,41
434,381,M,5
435,382,F,28
436,383,F,42
437,384,F,51
438,385,F,46
439,386,F,48
440,387,M,64
441,388,F,32
442,389,M,34
443,390,M,35
444,390,M,29
445,391,M,36
446,392,M,28
447,393,F,15
448,394,M,41
449,395,F,12
450,396,F,45
451,397,F,46
452,398,M,40
453,399,M,10
454,400,F,34
455,401,F,62
456,402,F,34
457,402,M,39
458,403,F,43
459,404,F,46
460,405,M,35
461,406,F,46
462,407,M,39
463,408,F,45
464,409,M,25
465,410,M,58
466,411,M,42
467,412,F,37
468,413,M,25
469,414,M,39
470,415,F,34
471,416,M,53
472,416,F,49
473,417,M,40
474,418,M,29
475,419,M,16
476,420,F,12
477,421,F,47
478,422,M,32
479,423,T,63
480,424,F,41
481,425,M,29
482,426,F,48
483,427,M,34
484,428,M,44
485,429,M,10
486,430,M,23
487,431,F,45
488,431,T,39
489,432,F,5
490,433,F,17
491,434,M,45
492,435,M,47
493,436,M,39
494,437,M,28
495,438,F,56
496,439,F,14
497,440,M,34
498,441,M,34
499,441,F,14
500,442,M,24
501,443,M,35
502,444,M,36
503,445,M,27
504,446,F,24
505,447,F,44
506,448,F,43
507,449,F,17
508,450,M,41
509,451,F,19
510,452,M,33
511,452,F,35
512,453,F,19
513,453,M,29
514,454,M,36
515,455,F,48
516,456,F,30
517,457,F,34
518,458,F,49
519,459,F,60
520,460,F,56
521,460,F,44
522,461,M,33
523,462,F,42
524,462,M,42
525,463,F,45
526,463,M,30
527,464,M,34
528,465,M,43
529,465,M,57
530,466,F,31
531,467,M,16
532,467,M,15
533,468,F,30
534,469,F,30
535,469,F,9
536,470,M,35
537,471,M,37
538,472,M,49
539,473,F,44
540,474,F,32
541,475,F,51
542,476,M,8
543,477,F,39
544,478,F,20
545,479,M,16
546,480,F,18
547,481,F,7
548,481,F,15
549,482,M,19
550,483,F,27
551,484,F,20
552,485,F,27
553,486,F,33
554,487,F,40
555,488,F,50
556,489,F,49
557,489,M,53
558,490,F,28
559,491,F,45
560,492,F,24
561,492,F,27
562,493,F,56
563,493,F,39
564,494,M,60
565,495,F,19
566,496,F,59
567,497,M,27
568,498,M,40
569,499,F,22
570,499,M,58
571,500,F,30
572,501,F,43
573,502,M,32
574,502,M,30
575,503,F,48
576,504,M,26
577,505,M,18
578,506,F,48
579,507,M,60
580,507,M,38
581,508,M,13
582,509,T,49
583,510,M,39
584,511,M,15
585,512,F,49
586,513,F,47
587,514,M,28
588,515,F,19
589,515,F,19
590,516,F,30
591,517,F,30
592,518,F,45
593,519,F,22
594,520,F,20
595,521,F,33
596,522,F,55
597,522,M,48
598,523,F,40
599,524,F,55
600,525,F,23
601,526,F,35
602,527,F,49
603,528,F,59
604,528,M,46
605,529,F,23
606,530,F,35
607,531,M,12
608,532,F,29
609,533,F,14
610,534,F,40
611,535,M,29
612,536,M,51
613,537,M,38
614,538,F,14
615,539,F,8
616,540,F,31
617,541,F,16
618,542,M,14
619,543,M,32
620,544,M,15
621,545,M,20
622,546,F,50
623,547,F,35
624,548,F,32
625,549,M,45
626,550,M,41
627,551,M,45
628,552,F,21
629,553,F,25
630,554,F,29
631,555,M,34
632,556,F,62
633,557,F,36
634,558,F,11
635,559,F,34
636,559,F,29
637,560,F,18
638,561,M,22
639,562,T,44
640,563,F,31
641,564,M,47
642,564,M,18
643,565,M,40
644,566,F,63
645,567,F,11
646,568,F,20
647,569,M,39
648,570,F,31
649,571,M,37
650,571,M,45
651,572,M,40
652,573,F,39
653,574,F,41
654,575,M,56
655,575,M,24
656,576,M,40
657,577,F,22
658,578,M,27
659,579,M,10
660,580,F,52
661,580,M,22
662,581,F,27
663,582,M,36
664,583,F,34
665,584,M,34
666,585,M,64
667,586,F,22
668,587,F,7
669,587,M,36
670,588,F,41
671,588,M,21
672,589,F,9
673,590,M,19
674,591,F,45
675,592,M,37
676,593,F,22
677,594,F,30
678,595,M,25
679,596,M,40
680,597,F,62
681,598,M,56
682,599,M,31
683,600,F,22
684,601,F,28
685,602,M,30
686,602,M,36
687,603,M,39
688,604,F,56
689,605,F,9
690,606,M,29
691,607,M,54
692,608,M,29
693,609,M,26
694,610,M,27
695,611,F,56
696,612,F,39
697,613,M,42
698,614,F,5
699,615,M,23
700,616,M,17
701,617,F,31
702,618,M,26
703,619,F,66
704,620,M,59
705,620,M,22
706,621,M,43
707,622,F,11
708,623,F,43
709,624,M,33
710,625,F,27
711,626,M,52
712,627,M,28
713,628,F,54
714,628,F,29
715,629,M,34
716,630,M,14
717,631,M,45
718,632,M,17
719,633,F,47
720,634,F,65
721,635,F,36
722,636,M,6
723,637,M,51
724,637,F,45
725,638,M,37
726,639,F,30
727,640,F,39
728,641,M,36
729,642,M,52
730,643,M,33
731,644,M,48
732,644,F,34
733,645,T,34
734,646,F,32
735,647,M,46
736,648,M,31
737,648,M,46
738,649,M,10
739,650,M,59
740,651,F,42
741,652,F,36
742,653,F,42
743,654,F,24
744,655,M,41
745,656,M,18
746,657,M,32
747,658,M,39
748,659,M,25
749,660,F,52
750,661,M,45
751,662,F,46
752,663,M,43
753,664,F,28
754,665,M,28
755,665,M,34
756,666,M,13
757,667,F,19
758,668,M,38
759,668,F,38
760,669,M,5
761,670,M,25
762,671,M,55
763,672,F,22
764,672,F,30
765,673,F,51
766,674,M,29
767,674,M,47
768,675,T,11
769,676,F,27
770,677,F,16
771,678,M,31
772,679,F,20
773,680,M,5
774,681,F,19
775,682,F,33
776,683,F,50
777,684,F,33
778,685,M,14
779,686,M,32
780,687,M,58
781,688,F,38
782,689,F,33
783,690,M,45
784,691,F,14
785,692,F,50
786,693,M,39
787,694,F,33
788,695,M,29
789,695,M,43
790,696,F,19
791,697,M,20
792,698,F,27
793,698,M,50
794,699,M,26
795,700,M,57
796,700,M,64
797,701,F,50
798,702,F,25
799,703,F,24
800,704,F,26
801,704,M,15
802,705,M,21
803,706,F,33
804,706,F,44
805,707,F,25
806,708,M,58
807,709,F,23
808,710,F,25
809,711,M,12
810,712,M,16
811,713,M,30
812,714,F,34
813,715,F,50
814,716,F,27
815,717,F,46
816,718,F,49
817,719,F,42
818,720,F,50
819,721,F,19
820,721,F,11
821,722,M,39
822,723,F,37
823,724,M,28
824,725,M,36
825,726,F,20
826,727,M,48
827,728,M,69
828,729,M,30
829,730,F,33
830,731,F,28
831,732,M,19
832,732,F,50
833,733,F,19
834,734,M,54
835,735,F,61
836,736,M,47
837,737,M,40
838,738,F,12
839,739,M,19
840,740,M,28
841,741,M,27
842,742,F,37
843,743,F,32
844,744,F,38
845,745,F,29
846,746,M,24
847,746,F,35
848,747,M,46
849,747,M,41
850,748,F,24
851,749,F,41
852,750,F,22
853,750,F,8
854,751,F,34
855,752,M,16
856,753,F,57
857,754,F,33
858,755,F,34
859,756,F,5
860,757,M,39
861,758,M,30
862,759,F,29
863,760,M,37
864,761,M,13
865,762,F,26
866,763,M,51
867,764,M,48
868,765,F,39
869,766,F,25
870,767,F,50
871,768,F,17
872,769,F,22
873,769,T,24
874,770,F,28
875,770,M,56
876,771,F,27
877,772,M,26
878,773,F,38
879,774,M,45
880,775,F,33
881,776,M,55
882,776,M,23
883,777,F,25
884,778,F,45
885,779,M,43
886,780,M,36
887,781,F,24
888,781,M,11
889,782,F,29
890,783,M,13
891,784,F,36
892,785,M,22
893,786,F,41
894,787,M,30
895,788,M,31
896,789,F,37
897,790,F,27
898,791,F,37
899,792,F,38
900,793,M,16
901,794,M,35
902,795,F,39
903,795,F,42
904,796,M,44
905,797,F,37
906,798,M,30
907,799,F,5
908,800,F,37
909,801,M,56
910,802,M,33
911,802,M,47
912,803,F,35
913,804,F,53
914,805,M,47
915,806,M,59
916,806,F,42
917,807,M,62
918,808,F,31
919,809,F,26
920,810,M,69
921,811,F,28
922,812,M,46
923,813,F,24
924,814,F,15
925,815,M,38
926,816,M,43
927,817,F,48
928,818,F,14
929,819,F,30
930,820,F,24
931,821,F,35
932,822,M,38
933,823,M,39
934,824,M,51
935,825,F,5
936,826,M,22
937,827,F,14
938,828,F,37
939,829,M,37
940,830,F,17
941,831,M,58
942,831,F,40
943,832,F,15
944,832,M,29
945,833,F,45
946,834,F,30
947,834,M,31
948,835,F,43
949,835,M,48
950,836,F,49
951,836,M,11
952,837,F,30
953,838,M,51
954,838,F,23
955,839,F,52
956,840,F,62
957,841,M,47
958,842,M,29
959,843,F,41
960,844,F,37
961,845,F,5
962,846,M,54
963,847,F,19
964,848,M,33
965,849,M,52
966,849,F,7
967,850,M,58
968,851,F,33
969,852,F,47
970,853,T,37
971,854,M,15
972,855,M,48
973,856,F,39
974,857,M,60
975,858,F,53
976,859,F,47
977,860,F,33
978,861,F,41
979,862,F,18
980,863,M,38
981,864,F,43
982,865,M,25
983,866,M,45
984,867,M,18
985,868,F,24
986,869,M,38
987,870,F,20
988,871,F,7
989,872,M,35
990,873,F,33
991,874,M,43
992,875,F,11
993,876,M,36
994,877,M,48
995,878,M,20
996,879,M,28
997,880,M,42
998,881,M,45
999,882,F,52
1000,883,M,37
1001,884,F,50
1002,885,F,44
1003,886,F,54
1004,887,M,40
1005,888,M,38
1006,889,F,31
1007,890,M,44
1008,891,F,64
1009,892,M,13
1010,892,F,13
1011,893,M,19
1012,894,F,51
1013,895,F,45
1014,896,F,33
1015,897,F,20
1016,898,M,37
1017,898,M,28
1018,899,M,48
1019,900,F,44
1020,901,F,52
1021,902,M,45
1022,903,T,22
1023,903,F,25
1024,904,M,23
1025,905,M,40
1026,906,F,20
1027,907,F,18
1028,908,M,50
1029,909,M,47
1030,910,F,47
1031,910,M,5
1032,911,F,48
1033,912,M,33
1034,913,F,49
1035,914,M,37
1036,915,F,54
1037,916,F,50
1038,916,M,21
1039,917,F,33
1040,918,M,40
1041,919,M,29
1042,920,F,34
1043,921,T,15
1044,922,F,52
1045,923,M,32
1046,923,M,22
1047,924,F,24
1048,925,F,52
1049,925,F,15
1050,926,M,45
1051,926,F,25
1052,927,M,33
1053,928,F,37
1054,929,F,35
1055,930,F,64
1056,931,F,55
1057,931,M,12
1058,932,F,43
1059,933,M,53
1060,934,F,29
1061,935,F,37
1062,936,F,58
1063,937,F,49
1064,938,F,53
1065,939,M,46
1066,940,M,29
1067,940,M,26
1068,941,M,25
1069,942,F,29
1070,943,F,60
1071,944,F,29
1072,944,F,5
1073,945,F,41
1074,946,M,61
1075,947,F,22
1076,948,M,39
1077,949,F,45
1078,950,M,38
1079,951,M,33
1080,951,F,32
1081,952,F,40
1082,953,F,22
1083,953,M,41
1084,954,F,19
1085,955,F,54
1086,955,F,15
1087,956,M,12
1088,957,M,27
1089,958,F,36
1090,959,M,33
1091,960,F,28
1092,960,F,23
1093,961,F,22
1094,962,M,36
1095,963,M,26
1096,963,M,29
1097,964,F,29
1098,965,M,50
1099,966,F,27
1100,966,F,59
1101,967,F,36
1102,968,M,14
1103,968,F,20
1104,969,M,24
1105,970,F,27
1106,971,F,18
1107,972,M,52
1108,973,M,38
1109,974,F,29
1110,975,M,48
1111,976,M,8
1112,976,F,38
1113,977,M,33
1114,978,M,53
1115,979,F,48
1116,979,M,38
1117,980,F,42
1118,981,F,35
1119,982,M,17
1120,983,M,32
1121,984,F,63
1122,985,M,19
1123,986,F,23
