ArrestSurrenderID,CaseMasterID,AccusedMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,District
1,1,1,Surrender,2025-03-26,Bidar
2,3,3,Arrest,2026-07-06,Mangaluru (Dakshina Kannada)
3,3,4,Arrest,2026-06-11,Mangaluru (Dakshina Kannada)
4,4,5,Arrest,2024-08-30,Tumakuru
5,5,6,Arrest,2024-08-08,Mangaluru (Dakshina Kannada)
6,6,8,Arrest,2024-03-28,Koppal
7,7,9,Arrest,2023-02-21,Mandya
8,8,10,Arrest,2024-12-24,Bengaluru Rural
9,10,13,Arrest,2023-02-27,Ballari
10,11,14,Arrest,2022-02-23,Mysuru
11,12,15,Arrest,2022-03-02,Yadgir
12,13,16,Arrest,2024-04-18,Bengaluru Rural
13,14,18,Arrest,2022-04-19,Chamarajanagar
14,14,20,Arrest,2022-04-21,Chamarajanagar
15,15,21,Arrest,2022-10-19,Ramanagara
16,16,22,Arrest,2026-02-06,Kolar
17,16,23,Surrender,2026-01-28,Kolar
18,17,24,Arrest,2026-10-26,Bengaluru Rural
19,18,25,Arrest,2026-01-31,Raichur
20,18,26,Arrest,2026-02-21,Raichur
21,20,28,Arrest,2024-10-31,Bengaluru Rural
22,21,30,Arrest,2025-04-09,Davanagere
23,21,31,Arrest,2025-03-30,Davanagere
24,22,32,Arrest,2022-08-05,Mandya
25,23,33,Arrest,2023-07-13,Mysuru
26,25,35,Arrest,2024-09-03,Chamarajanagar
27,26,37,Arrest,2025-02-02,Mangaluru (Dakshina Kannada)
28,28,40,Arrest,2025-06-21,Chamarajanagar
29,29,41,Arrest,2025-08-05,Belagavi
30,30,42,Surrender,2025-12-20,Ballari
31,31,44,Arrest,2025-05-28,Belagavi
32,32,45,Arrest,2023-01-13,Mangaluru (Dakshina Kannada)
33,33,46,Arrest,2024-08-21,Belagavi
34,34,47,Arrest,2022-10-14,Bengaluru City
35,34,48,Arrest,2022-10-20,Bengaluru City
36,34,49,Arrest,2022-10-02,Bengaluru City
37,36,51,Arrest,2025-05-01,Davanagere
38,40,57,Arrest,2024-01-18,Mangaluru (Dakshina Kannada)
39,41,59,Arrest,2025-07-11,Belagavi
40,42,60,Arrest,2023-08-27,Chamarajanagar
41,42,62,Surrender,2023-08-18,Chamarajanagar
42,43,63,Arrest,2023-02-26,Davanagere
43,47,68,Surrender,2025-05-01,Bidar
44,47,69,Arrest,2025-04-25,Bidar
45,48,70,Arrest,2026-02-10,Kalaburagi
46,49,72,Arrest,2023-03-11,Belagavi
47,52,75,Surrender,2026-01-17,Tumakuru
48,52,76,Arrest,2026-01-20,Tumakuru
49,54,78,Arrest,2024-11-06,Ballari
50,55,80,Arrest,2024-10-24,Davanagere
51,56,81,Arrest,2023-04-01,Udupi
52,56,82,Surrender,2023-04-08,Udupi
53,58,83,Arrest,2024-09-08,Bengaluru Rural
54,59,84,Arrest,2022-06-25,Belagavi
55,60,85,Surrender,2022-09-08,Davanagere
56,62,87,Arrest,2023-10-24,Belagavi
57,63,88,Surrender,2024-04-10,Chikkaballapur
58,63,89,Arrest,2024-04-26,Chikkaballapur
59,63,90,Surrender,2024-04-11,Chikkaballapur
60,65,92,Surrender,2025-01-16,Tumakuru
61,66,93,Surrender,2023-02-02,Mangaluru (Dakshina Kannada)
62,68,96,Arrest,2025-01-25,Tumakuru
63,69,97,Arrest,2026-10-14,Chikkamagaluru
64,72,100,Arrest,2025-02-13,Tumakuru
65,73,101,Surrender,2026-11-23,Chitradurga
66,74,102,Arrest,2023-10-11,Udupi
67,75,104,Arrest,2023-11-23,Bengaluru City
68,76,106,Arrest,2024-03-13,Bengaluru Rural
69,77,107,Arrest,2025-06-24,Bengaluru Rural
70,78,109,Arrest,2023-07-15,Hassan
71,78,110,Surrender,2023-06-13,Hassan
72,79,111,Arrest,2026-03-07,Hubballi-Dharwad
73,81,113,Surrender,2026-12-30,Bidar
74,84,117,Surrender,2024-02-18,Bengaluru Rural
75,84,118,Arrest,2024-02-24,Bengaluru Rural
76,84,119,Arrest,2024-02-24,Bengaluru Rural
77,86,121,Arrest,2026-02-20,Tumakuru
78,87,122,Arrest,2026-12-30,Gadag
79,89,124,Arrest,2023-10-06,Bengaluru City
80,92,129,Arrest,2023-05-23,Belagavi
81,92,130,Arrest,2023-05-12,Belagavi
82,93,131,Arrest,2026-05-03,Belagavi
83,94,132,Arrest,2022-07-13,Mangaluru (Dakshina Kannada)
84,97,133,Arrest,2026-07-29,Hubballi-Dharwad
85,98,134,Arrest,2025-09-29,Mysuru
86,99,135,Arrest,2026-02-23,Koppal
87,99,136,Arrest,2026-02-22,Koppal
88,99,137,Arrest,2026-02-15,Koppal
89,100,140,Surrender,2026-03-17,Hassan
90,101,141,Arrest,2024-03-16,Mangaluru (Dakshina Kannada)
91,102,142,Arrest,2026-08-01,Hubballi-Dharwad
92,102,144,Surrender,2026-07-30,Hubballi-Dharwad
93,103,145,Arrest,2023-05-23,Kodagu
94,104,146,Arrest,2024-05-05,Ballari
95,104,147,Arrest,2024-05-05,Ballari
96,106,149,Arrest,2022-07-13,Ballari
97,107,151,Arrest,2023-05-10,Hassan
98,108,152,Surrender,2025-09-06,Hubballi-Dharwad
99,109,153,Arrest,2023-03-07,Mysuru
100,110,155,Arrest,2026-10-12,Bengaluru City
101,113,158,Arrest,2023-08-09,Koppal
102,114,161,Arrest,2025-12-20,Yadgir
103,115,162,Surrender,2025-04-10,Bidar
104,116,164,Surrender,2024-04-12,Shivamogga
105,118,167,Arrest,2023-06-02,Bengaluru Rural
106,118,168,Arrest,2023-05-19,Bengaluru Rural
107,119,169,Arrest,2023-03-09,Belagavi
108,120,170,Arrest,2025-10-12,Mandya
109,120,171,Arrest,2025-10-26,Mandya
110,122,174,Arrest,2023-07-09,Bengaluru City
111,125,179,Arrest,2025-06-04,Bengaluru Rural
112,125,180,Arrest,2025-05-20,Bengaluru Rural
113,126,181,Arrest,2027-01-19,Kalaburagi
114,127,182,Arrest,2023-12-24,Mangaluru (Dakshina Kannada)
115,128,183,Arrest,2023-12-13,Bengaluru City
116,129,186,Arrest,2022-04-07,Chamarajanagar
117,130,189,Arrest,2023-06-02,Shivamogga
118,130,190,Arrest,2023-06-08,Shivamogga
119,133,193,Arrest,2024-10-23,Hubballi-Dharwad
120,133,194,Arrest,2024-11-13,Hubballi-Dharwad
121,133,195,Surrender,2024-10-25,Hubballi-Dharwad
122,136,197,Arrest,2026-06-17,Bengaluru Rural
123,136,198,Arrest,2026-06-22,Bengaluru Rural
124,137,199,Arrest,2024-09-19,Vijayapura
125,138,200,Arrest,2026-06-02,Koppal
126,138,201,Arrest,2026-05-08,Koppal
127,139,202,Arrest,2025-05-06,Tumakuru
128,140,203,Arrest,2027-02-05,Raichur
129,143,205,Arrest,2024-05-25,Hassan
130,145,207,Surrender,2027-01-26,Hassan
131,146,208,Arrest,2025-11-24,Bidar
132,147,209,Surrender,2023-06-25,Mysuru
133,148,211,Arrest,2026-08-23,Udupi
134,149,213,Arrest,2026-12-23,Udupi
135,150,214,Arrest,2025-03-13,Bengaluru City
136,151,215,Arrest,2025-09-29,Chitradurga
137,151,216,Arrest,2025-10-17,Chitradurga
138,152,217,Arrest,2026-03-21,Bengaluru Rural
139,154,219,Arrest,2025-07-07,Udupi
140,156,220,Arrest,2022-03-02,Raichur
141,157,222,Arrest,2022-01-22,Mangaluru (Dakshina Kannada)
142,157,223,Arrest,2022-01-20,Mangaluru (Dakshina Kannada)
143,159,227,Arrest,2024-10-20,Mysuru
144,160,228,Arrest,2025-11-25,Udupi
145,161,229,Arrest,2022-01-26,Hassan
146,161,230,Arrest,2022-03-03,Hassan
147,164,233,Surrender,2026-06-18,Yadgir
148,165,234,Arrest,2024-09-28,Hassan
149,166,236,Surrender,2026-08-18,Shivamogga
150,167,238,Arrest,2024-08-08,Mangaluru (Dakshina Kannada)
