ArrestSurrenderID,CaseMasterID,AccusedMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,District
1,1,1,Surrender,2025-03-02,Bidar
2,2,2,Surrender,2022-04-19,Bengaluru City
3,3,3,Arrest,2025-10-21,Hassan
4,4,4,Arrest,2023-06-30,Belagavi
5,5,6,Arrest,2025-12-22,Belagavi
6,6,8,Arrest,2022-06-08,Mysuru
7,9,10,Arrest,2023-07-17,Bengaluru Rural
8,10,11,Arrest,2024-08-07,Chamarajanagar
9,11,12,Arrest,2022-01-30,Mysuru
10,12,13,Arrest,2022-05-31,Yadgir
11,12,14,Arrest,2022-06-16,Yadgir
12,14,16,Arrest,2025-10-12,Bengaluru Rural
13,15,18,Arrest,2026-12-28,Shivamogga
14,16,19,Arrest,2026-01-15,Kolar
15,22,25,Arrest,2026-08-27,Belagavi
16,22,26,Arrest,2026-08-13,Belagavi
17,24,27,Arrest,2023-01-11,Bidar
18,26,29,Arrest,2026-10-19,Tumakuru
19,27,30,Arrest,2025-03-04,Mangaluru (Dakshina Kannada)
20,28,32,Arrest,2026-06-12,Ballari
21,28,33,Arrest,2026-07-10,Ballari
22,31,36,Surrender,2024-11-26,Belagavi
23,32,37,Arrest,2026-04-20,Davanagere
24,32,38,Arrest,2026-04-29,Davanagere
25,33,39,Arrest,2024-01-23,Shivamogga
26,34,41,Surrender,2024-12-21,Mangaluru (Dakshina Kannada)
27,34,42,Arrest,2025-01-04,Mangaluru (Dakshina Kannada)
28,35,43,Arrest,2023-10-16,Chamarajanagar
29,36,44,Arrest,2025-10-17,Udupi
30,37,45,Arrest,2025-04-11,Bengaluru City
31,37,46,Arrest,2025-05-15,Bengaluru City
32,39,48,Arrest,2022-11-09,Davanagere
33,40,49,Surrender,2022-05-11,Kalaburagi
34,41,50,Arrest,2024-11-26,Bidar
35,42,53,Arrest,2023-03-14,Mangaluru (Dakshina Kannada)
36,43,54,Arrest,2023-04-12,Mangaluru (Dakshina Kannada)
37,44,56,Arrest,2022-04-10,Bengaluru City
38,44,57,Surrender,2022-04-13,Bengaluru City
39,45,58,Arrest,2024-05-20,Bengaluru City
40,46,59,Arrest,2026-05-08,Kodagu
41,47,60,Arrest,2025-03-01,Bengaluru Rural
42,48,61,Surrender,2025-09-22,Bagalkot
43,49,64,Arrest,2026-02-25,Chamarajanagar
44,52,66,Arrest,2026-01-27,Belagavi
45,53,67,Arrest,2022-06-15,Hassan
46,54,68,Arrest,2022-03-27,Hassan
47,55,70,Surrender,2022-10-11,Bengaluru City
48,56,71,Arrest,2023-12-05,Bidar
49,57,73,Surrender,2023-02-22,Belagavi
50,59,75,Surrender,2024-09-10,Ramanagara
51,60,77,Arrest,2025-03-05,Ramanagara
52,61,78,Arrest,2023-07-23,Mangaluru (Dakshina Kannada)
53,61,79,Arrest,2023-07-30,Mangaluru (Dakshina Kannada)
54,61,80,Arrest,2023-07-17,Mangaluru (Dakshina Kannada)
55,62,81,Arrest,2024-02-20,Chikkamagaluru
56,62,82,Surrender,2024-02-05,Chikkamagaluru
57,67,87,Arrest,2023-09-19,Davanagere
58,68,89,Arrest,2025-07-18,Bengaluru City
59,70,91,Arrest,2025-07-31,Hassan
60,70,92,Arrest,2025-08-11,Hassan
61,71,93,Arrest,2024-03-11,Hassan
62,71,94,Arrest,2024-03-28,Hassan
63,72,97,Arrest,2026-08-07,Davanagere
64,73,99,Arrest,2024-01-19,Yadgir
65,74,100,Arrest,2026-10-06,Shivamogga
66,75,101,Surrender,2024-11-09,Bengaluru Rural
67,76,104,Arrest,2023-01-01,Mangaluru (Dakshina Kannada)
68,78,105,Arrest,2024-09-14,Bengaluru Rural
69,81,108,Surrender,2022-01-26,Bengaluru Rural
70,82,109,Arrest,2025-09-23,Belagavi
71,82,110,Arrest,2025-10-07,Belagavi
72,83,111,Arrest,2026-05-03,Ballari
73,85,115,Arrest,2026-07-21,Tumakuru
74,87,117,Arrest,2022-03-31,Mangaluru (Dakshina Kannada)
75,88,118,Arrest,2026-01-16,Kolar
76,88,119,Arrest,2026-01-20,Kolar
77,90,120,Surrender,2026-01-09,Chamarajanagar
78,91,121,Arrest,2026-10-09,Mysuru
79,92,122,Arrest,2025-05-23,Chamarajanagar
80,95,124,Surrender,2022-01-20,Gadag
81,96,125,Arrest,2026-07-11,Mangaluru (Dakshina Kannada)
82,97,126,Arrest,2025-04-26,Chamarajanagar
83,100,129,Arrest,2026-03-10,Bengaluru City
84,100,130,Arrest,2026-03-16,Bengaluru City
85,101,131,Arrest,2024-06-26,Davanagere
86,101,132,Surrender,2024-07-22,Davanagere
87,102,135,Arrest,2024-02-21,Mysuru
88,102,136,Arrest,2024-03-16,Mysuru
89,103,137,Arrest,2027-01-04,Bengaluru Rural
90,105,139,Surrender,2025-09-23,Raichur
91,105,140,Arrest,2025-10-17,Raichur
92,106,141,Arrest,2022-01-20,Belagavi
93,107,142,Surrender,2023-03-29,Belagavi
94,109,144,Arrest,2025-11-12,Mangaluru (Dakshina Kannada)
95,113,148,Arrest,2026-02-19,Raichur
96,115,150,Surrender,2026-01-23,Yadgir
97,116,151,Arrest,2026-07-01,Hassan
98,118,153,Arrest,2023-12-31,Kodagu
99,120,155,Arrest,2025-10-10,Shivamogga
100,120,156,Arrest,2025-10-03,Shivamogga
101,121,157,Surrender,2024-12-20,Ballari
102,122,159,Surrender,2026-03-04,Tumakuru
103,123,161,Surrender,2024-08-26,Shivamogga
104,124,162,Surrender,2022-06-09,Davanagere
105,124,163,Surrender,2022-06-11,Davanagere
106,125,164,Surrender,2023-03-19,Chamarajanagar
107,125,165,Arrest,2023-03-13,Chamarajanagar
108,127,166,Surrender,2023-05-15,Hubballi-Dharwad
109,128,167,Arrest,2024-03-09,Hassan
110,129,168,Arrest,2024-03-24,Chikkaballapur
111,132,171,Arrest,2025-08-04,Belagavi
112,133,172,Arrest,2023-05-25,Mangaluru (Dakshina Kannada)
113,134,173,Arrest,2024-04-27,Bengaluru Rural
114,135,174,Arrest,2023-06-09,Davanagere
115,135,175,Arrest,2023-05-07,Davanagere
116,135,176,Arrest,2023-06-07,Davanagere
117,136,177,Arrest,2022-04-21,Chamarajanagar
118,137,179,Arrest,2023-08-06,Bengaluru Rural
119,137,180,Arrest,2023-08-12,Bengaluru Rural
120,138,181,Arrest,2025-12-14,Belagavi
121,141,184,Arrest,2025-04-19,Tumakuru
122,144,186,Surrender,2022-10-20,Mysuru
123,145,187,Arrest,2026-09-28,Mysuru
124,145,188,Arrest,2026-10-21,Mysuru
125,146,189,Surrender,2022-05-03,Davanagere
126,147,190,Arrest,2025-02-02,Bidar
127,149,193,Arrest,2026-02-11,Kolar
128,149,195,Arrest,2026-03-07,Kolar
129,150,196,Arrest,2024-08-24,Mandya
130,151,197,Surrender,2026-02-10,Bengaluru Rural
131,151,198,Arrest,2026-02-11,Bengaluru Rural
132,152,199,Arrest,2022-03-20,Bengaluru City
133,152,200,Arrest,2022-03-28,Bengaluru City
134,156,203,Arrest,2026-10-21,Shivamogga
135,157,204,Arrest,2024-06-12,Davanagere
136,159,205,Arrest,2022-07-13,Mangaluru (Dakshina Kannada)
137,159,206,Arrest,2022-07-26,Mangaluru (Dakshina Kannada)
138,160,208,Arrest,2026-08-25,Bengaluru City
139,160,209,Surrender,2026-08-20,Bengaluru City
140,161,211,Arrest,2024-06-06,Hassan
141,161,212,Arrest,2024-06-14,Hassan
142,162,213,Surrender,2024-06-07,Davanagere
143,164,216,Arrest,2025-11-18,Hassan
144,165,218,Surrender,2025-10-30,Mangaluru (Dakshina Kannada)
145,166,219,Arrest,2025-09-08,Shivamogga
146,168,221,Surrender,2026-03-19,Kodagu
147,170,224,Surrender,2023-09-25,Davanagere
148,171,225,Arrest,2026-01-21,Mysuru
149,174,228,Arrest,2026-10-18,Hassan
150,175,230,Surrender,2023-06-16,Ballari
151,176,232,Arrest,2024-03-10,Gadag
152,177,233,Arrest,2022-12-31,Bagalkot
153,178,234,Arrest,2025-11-10,Bengaluru Rural
154,179,236,Arrest,2024-06-27,Raichur
155,179,237,Arrest,2024-07-25,Raichur
156,180,238,Surrender,2023-05-09,Raichur
157,181,239,Surrender,2022-04-09,Hubballi-Dharwad
158,182,241,Arrest,2024-09-22,Belagavi
159,183,242,Arrest,2026-11-13,Belagavi
160,184,243,Arrest,2025-11-03,Mysuru
161,184,244,Arrest,2025-10-12,Mysuru
162,186,247,Arrest,2024-09-11,Haveri
163,188,250,Surrender,2022-05-23,Davanagere
164,189,251,Arrest,2026-06-19,Koppal
