CaseMasterID,CrimeNo,District,PoliceStationNo,CrimeRegisteredDate,Year,Month,Hour,TimeOfDay,CaseCategory,GravityOffence,CrimeHead,CrimeSubHead,CaseStatus,latitude,longitude
1,100140004202500001,Bidar,4,2025-02-16,2025,2,14,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,17.8424,77.46473
2,100010003202200002,Bengaluru City,3,2022-03-19,2022,3,11,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Body,Assault,Charge Sheeted,12.96569,77.5692
3,100190003202500003,Hassan,3,2025-10-13,2025,10,1,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,13.02016,76.06685
4,100050004202300004,Belagavi,4,2023-06-05,2023,6,14,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,15.83637,74.40945
5,100050002202500005,Belagavi,2,2025-11-12,2025,11,8,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Forgery,Charge Sheeted,15.82052,74.49447
6,700030003202200006,Mysuru,3,2022-04-27,2022,4,23,Evening (6PM-12AM),Zero FIR,Non-Heinous,Economic Offences,Cheating,False Case,12.31295,76.71776
7,100220002202300007,Yadgir,2,2023-09-05,2023,9,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Assault,Undetected,16.75239,77.15785
8,100020004202400008,Bengaluru Rural,4,2024-07-21,2024,7,13,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Assault,Under Investigation,13.25555,77.53434
9,400020004202300009,Bengaluru Rural,4,2023-07-01,2023,7,23,Evening (6PM-12AM),UDR,Non-Heinous,Crimes Against Women,Domestic Violence,Closed,13.30354,77.62635
10,100230002202400010,Chamarajanagar,2,2024-07-07,2024,7,23,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Forgery,Under Investigation,11.94409,77.04932
11,100030002202200011,Mysuru,2,2022-01-14,2022,1,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,False Case,12.25251,76.65839
12,100220003202200012,Yadgir,3,2022-05-25,2022,5,20,Evening (6PM-12AM),PAR,Non-Heinous,Economic Offences,Forgery,Closed,16.76535,77.12007
13,100050004202400013,Belagavi,4,2024-05-07,2024,5,7,Morning (6AM-12PM),FIR,Heinous,Narcotics,NDPS Trafficking,Charge Sheeted,15.95434,74.52404
14,100020004202500014,Bengaluru Rural,4,2025-09-17,2025,9,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Closed,13.37527,77.59225
15,100100002202600015,Shivamogga,2,2026-12-22,2026,12,5,Night (12AM-6AM),FIR,Heinous,Narcotics,NDPS Trafficking,Under Investigation,13.9807,75.53384
16,100170004202500016,Kolar,4,2025-12-26,2025,12,14,Afternoon (12PM-6PM),PAR,Non-Heinous,Crimes Against Property,Burglary,Closed,13.16945,78.26946
17,100190001202200017,Hassan,1,2022-05-27,2022,5,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Economic Offences,Cheating,Undetected,13.01419,76.14811
18,100030001202600018,Mysuru,1,2026-08-25,2026,8,0,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Murder,Under Investigation,12.15578,76.5987
19,100020001202500019,Bengaluru Rural,1,2025-01-06,2025,1,2,Night (12AM-6AM),FIR,Non-Heinous,Public Order,Unlawful Assembly,Under Investigation,13.31308,77.54613
20,100140001202500020,Bidar,1,2025-06-04,2025,6,12,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Women,Molestation,Undetected,17.90253,77.54083
21,100040002202300021,Mangaluru (Dakshina Kannada),2,2023-02-22,2023,2,14,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,12.84706,74.82848
22,100050002202600022,Belagavi,2,2026-08-06,2026,8,10,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Dowry Harassment,False Case,15.88455,74.49429
23,100010001202600023,Bengaluru City,1,2026-09-24,2026,9,17,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Women,Domestic Violence,Undetected,12.99769,77.56103
24,400140001202200024,Bidar,1,2022-12-21,2022,12,12,Afternoon (12PM-6PM),UDR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,17.85714,77.60005
25,100240004202200025,Kodagu,4,2022-08-07,2022,8,4,Night (12AM-6AM),FIR,Heinous,Crimes Against Women,Molestation,Under Investigation,12.35236,75.79615
26,700090004202600026,Tumakuru,4,2026-09-24,2026,9,10,Morning (6AM-12PM),Zero FIR,Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,13.28457,77.11306
27,100040002202500027,Mangaluru (Dakshina Kannada),2,2025-01-20,2025,1,23,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Closed,12.84472,74.83837
28,400080003202600028,Ballari,3,2026-06-02,2026,6,19,Evening (6PM-12AM),UDR,Non-Heinous,Crimes Against Body,Murder,False Case,15.16629,76.82026
29,700150004202200029,Chikkamagaluru,4,2022-10-11,2022,10,14,Afternoon (12PM-6PM),Zero FIR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,13.29178,75.65579
30,100210001202600030,Koppal,1,2026-08-09,2026,8,12,Afternoon (12PM-6PM),PAR,Non-Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,15.32327,76.26567
31,700050003202400031,Belagavi,3,2024-11-26,2024,11,12,Afternoon (12PM-6PM),Zero FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,15.87862,74.46634
32,100110004202600032,Davanagere,4,2026-04-18,2026,4,10,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Closed,14.43435,75.89568
33,100100002202400033,Shivamogga,2,2024-01-02,2024,1,15,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Body,Attempt to Murder,Under Investigation,13.96875,75.56728
34,100040001202400034,Mangaluru (Dakshina Kannada),1,2024-11-25,2024,11,11,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Molestation,Under Investigation,12.84693,74.88287
35,100230004202300035,Chamarajanagar,4,2023-10-16,2023,10,10,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Under Investigation,11.96198,76.97215
36,100160004202500036,Udupi,4,2025-10-09,2025,10,3,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,13.26274,74.73903
37,100010001202500037,Bengaluru City,1,2025-04-10,2025,4,15,Afternoon (12PM-6PM),FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,13.03315,77.59693
38,100020004202600038,Bengaluru Rural,4,2026-08-11,2026,8,11,Morning (6AM-12PM),FIR,Heinous,Narcotics,NDPS Possession,False Case,13.21488,77.427
39,100110001202200039,Davanagere,1,2022-10-25,2022,10,20,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Body,Assault,Under Investigation,14.46653,76.02702
40,100060004202200040,Kalaburagi,4,2022-05-09,2022,5,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Theft,Under Investigation,17.3262,76.83934
41,700140001202400041,Bidar,1,2024-11-03,2024,11,3,Night (12AM-6AM),Zero FIR,Non-Heinous,Cyber Crime,Identity Theft,False Case,17.84373,77.44958
42,100040002202300042,Mangaluru (Dakshina Kannada),2,2023-02-11,2023,2,14,Afternoon (12PM-6PM),FIR,Non-Heinous,Cyber Crime,Cyberstalking,Charge Sheeted,12.92025,74.84715
43,100040002202300043,Mangaluru (Dakshina Kannada),2,2023-04-05,2023,4,1,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Phishing,Charge Sheeted,12.93893,74.84206
44,100010002202200044,Bengaluru City,2,2022-04-01,2022,4,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Under Investigation,12.79576,77.61757
45,100010002202400045,Bengaluru City,2,2024-04-12,2024,4,3,Night (12AM-6AM),PAR,Heinous,Crimes Against Women,Molestation,Closed,13.03788,77.56986
46,100240003202600046,Kodagu,3,2026-04-27,2026,4,18,Evening (6PM-12AM),PAR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,12.33092,75.82806
47,100020002202500047,Bengaluru Rural,2,2025-02-20,2025,2,15,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Assault,False Case,13.2219,77.49274
48,100270003202500048,Bagalkot,3,2025-09-07,2025,9,1,Night (12AM-6AM),FIR,Non-Heinous,Public Order,Rioting,Closed,16.13742,75.66352
49,100230003202600049,Chamarajanagar,3,2026-01-21,2026,1,5,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,11.94827,76.9527
50,100020002202400050,Bengaluru Rural,2,2024-06-27,2024,6,22,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Theft,Undetected,13.29923,77.54493
51,100150003202200051,Chikkamagaluru,3,2022-12-16,2022,12,4,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Closed,13.32692,75.73264
52,100050002202600052,Belagavi,2,2026-01-25,2026,1,19,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Closed,15.78057,74.48327
53,700190002202200053,Hassan,2,2022-05-18,2022,5,8,Morning (6AM-12PM),Zero FIR,Non-Heinous,Crimes Against Body,Murder,Charge Sheeted,13.0888,76.0926
54,100190004202200054,Hassan,4,2022-03-10,2022,3,4,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Murder,Under Investigation,12.97221,76.14437
55,100010002202200055,Bengaluru City,2,2022-10-11,2022,10,11,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Burglary,False Case,12.92588,77.60352
56,100140002202300056,Bidar,2,2023-11-25,2023,11,19,Evening (6PM-12AM),FIR,Heinous,Narcotics,NDPS Possession,Charge Sheeted,17.85481,77.609
57,100050004202300057,Belagavi,4,2023-01-12,2023,1,4,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,15.74106,74.36271
58,100280002202400058,Haveri,2,2024-03-08,2024,3,23,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,14.82783,75.44149
59,100250002202400059,Ramanagara,2,2024-08-08,2024,8,10,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Molestation,Charge Sheeted,12.76817,77.27889
60,100250004202500060,Ramanagara,4,2025-02-19,2025,2,15,Afternoon (12PM-6PM),PAR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,12.68572,77.3784
61,100040004202300061,Mangaluru (Dakshina Kannada),4,2023-06-21,2023,6,5,Night (12AM-6AM),PAR,Non-Heinous,Narcotics,NDPS Trafficking,Under Investigation,12.91731,74.73094
62,100150003202400062,Chikkamagaluru,3,2024-02-04,2024,2,0,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,13.36062,75.65932
63,100270002202200063,Bagalkot,2,2022-03-20,2022,3,12,Afternoon (12PM-6PM),PAR,Non-Heinous,Crimes Against Body,Assault,Under Investigation,16.28388,75.69157
64,100050001202300064,Belagavi,1,2023-07-08,2023,7,4,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Cheating,False Case,15.87399,74.40138
65,100090001202400065,Tumakuru,1,2024-11-11,2024,11,4,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,13.42654,77.08475
66,700040004202200066,Mangaluru (Dakshina Kannada),4,2022-05-05,2022,5,3,Night (12AM-6AM),Zero FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Closed,12.88897,74.98978
67,100110004202300067,Davanagere,4,2023-08-09,2023,8,4,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Closed,14.44814,75.86606
68,100010004202500068,Bengaluru City,4,2025-06-20,2025,6,15,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,12.95207,77.62519
69,100090001202500069,Tumakuru,1,2025-10-15,2025,10,5,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Identity Theft,Closed,13.20228,77.10585
70,100190001202500070,Hassan,1,2025-07-21,2025,7,8,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,13.00454,76.06515
