CaseMasterID,CrimeNo,District,PoliceStationNo,CrimeRegisteredDate,Year,Month,CaseCategory,GravityOffence,CrimeHead,CrimeSubHead,CaseStatus,latitude,longitude
1,100140004202500001,Bidar,4,2025-02-16,2025,2,FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,17.8424,77.46473
2,100030002202200002,Mysuru,2,2022-02-03,2022,2,FIR,Heinous,Crimes Against Body,Attempt to Murder,Closed,12.28989,76.614
3,100040002202600003,Mangaluru (Dakshina Kannada),2,2026-06-08,2026,6,FIR,Non-Heinous,Crimes Against Property,Robbery,False Case,12.96452,74.75236
4,100090003202400004,Tumakuru,3,2024-08-04,2024,8,PAR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,13.32457,77.02905
5,700040002202400005,Mangaluru (Dakshina Kannada),2,2024-07-15,2024,7,Zero FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,12.81362,74.82682
6,100210003202400006,Koppal,3,2024-03-26,2024,3,PAR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,15.27316,76.07812
7,100180002202300007,Mandya,2,2023-01-26,2023,1,FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,12.45778,76.84212
8,100020004202400008,Bengaluru Rural,4,2024-12-19,2024,12,FIR,Non-Heinous,Economic Offences,Cheating,Closed,13.25555,77.53434
9,400020004202300009,Bengaluru Rural,4,2023-09-12,2023,9,UDR,Non-Heinous,Narcotics,NDPS Trafficking,Closed,13.35695,77.51025
10,100080001202300010,Ballari,1,2023-01-27,2023,1,FIR,Non-Heinous,Economic Offences,Forgery,Charge Sheeted,15.15989,77.02512
11,100030002202200011,Mysuru,2,2022-01-14,2022,1,FIR,Non-Heinous,Crimes Against Property,Dacoity,False Case,12.25251,76.65839
12,100220004202200012,Yadgir,4,2022-02-19,2022,2,PAR,Non-Heinous,Economic Offences,Forgery,Closed,16.77802,77.14075
13,100020002202400013,Bengaluru Rural,2,2024-04-17,2024,4,FIR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,13.22143,77.53393
14,100230001202200014,Chamarajanagar,1,2022-03-18,2022,3,PAR,Non-Heinous,Cyber Crime,Cyberstalking,Under Investigation,11.85328,76.9145
