VictimMasterID,CaseMasterID,GenderID,AgeYear
1,1,F,43
2,2,F,13
3,3,M,25
4,4,M,45
5,5,M,58
6,6,M,36
7,6,M,38
8,7,M,33
9,8,M,52
10,9,F,31
11,10,F,44
12,11,F,63
13,12,F,30
14,13,M,58
15,13,F,40
16,14,M,24
17,15,F,31
18,16,F,56
19,17,F,24
20,17,F,36
21,18,F,52
22,19,M,29
23,20,F,11
24,21,M,35
25,22,M,12
26,23,F,55
27,24,F,43
28,25,M,23
29,25,F,44
30,26,F,61
31,26,F,22
32,27,M,40
33,27,F,41
34,28,M,19
35,28,M,56
36,29,M,59
37,30,M,5
38,30,M,37
39,31,M,54
40,32,F,33
41,33,F,18
42,33,M,34
43,34,F,29
44,34,F,62
45,35,F,59
46,36,F,22
47,36,M,38
48,37,M,17
49,37,F,7
50,38,F,59
51,39,F,38
52,40,F,30
53,41,F,39
54,42,F,21
55,43,T,39
56,44,F,30
57,45,M,39
58,46,F,33
59,46,F,28
60,47,F,38
61,48,M,41
62,49,F,31
63,50,F,25
64,51,M,22
65,52,F,30
66,53,F,48
67,54,M,68
68,55,M,42
69,55,M,55
70,56,F,38
71,57,F,35
72,57,F,22
73,58,M,31
74,58,F,47
75,59,M,42
76,59,F,54
77,60,M,36
78,61,F,5
79,62,F,38
80,63,M,38
81,63,M,46
82,64,M,41
83,65,F,40
84,66,M,51
85,67,F,11
86,68,F,41
87,69,M,31
88,70,M,29
89,71,F,46
90,72,F,41
91,73,F,39
92,74,F,44
93,74,F,34
94,75,M,31
95,76,F,24
96,77,M,33
97,78,M,12
98,79,M,23
99,80,M,67
100,81,M,25
101,81,F,42
102,82,F,22
103,83,F,42
104,84,F,49
105,85,F,29
106,86,M,30
107,86,M,44
108,87,F,25
109,88,M,43
110,89,F,11
111,90,F,18
112,91,M,49
113,92,M,35
114,93,F,23
115,94,M,22
116,95,M,37
117,96,F,24
118,97,M,52
119,98,M,18
120,99,M,33
121,100,M,46
122,101,F,34
123,102,M,32
124,103,M,51
125,104,M,9
126,105,M,40
127,106,F,36
128,106,F,64
129,107,M,32
130,108,M,39
131,109,M,11
132,110,T,37
133,111,M,12
134,112,F,44
135,113,M,21
136,114,M,21
137,115,M,10
138,116,F,30
139,117,M,35
140,117,F,25
141,118,M,34
142,118,M,36
143,119,M,41
144,120,M,30
145,121,M,40
146,122,F,54
147,123,M,20
148,124,F,26
149,125,F,24
150,126,M,20
151,127,F,24
152,128,M,51
153,129,F,45
154,130,F,59
155,130,F,17
156,131,F,42
157,132,M,31
158,133,F,32
159,134,M,44
160,135,F,41
161,136,F,54
162,137,F,5
163,138,F,25
164,139,F,56
165,140,F,9
166,141,F,19
167,142,M,33
168,143,F,53
169,144,M,27
170,144,M,48
171,145,F,39
172,145,F,31
173,146,F,27
174,147,M,36
175,148,F,17
176,148,M,36
177,149,F,37
178,150,M,39
179,150,M,24
180,151,M,37
181,152,M,34
182,153,M,17
183,154,M,33
184,155,M,42
185,155,F,27
186,156,F,38
187,157,F,29
188,158,M,37
189,159,M,27
190,160,M,34
191,161,M,29
192,162,M,30
193,163,M,30
194,164,F,12
195,165,F,60
196,166,F,43
197,167,F,41
198,168,F,30
199,169,F,41
200,170,F,39
201,171,M,24
202,172,F,53
203,173,M,36
204,174,F,10
205,175,M,33
206,176,F,54
207,176,M,45
208,177,M,41
209,178,F,31
210,178,M,16
211,179,F,23
212,180,M,34
213,181,F,44
214,182,M,21
215,183,M,42
216,184,F,31
217,184,F,30
218,185,F,35
219,186,F,9
220,187,F,5
221,188,F,52
222,189,F,19
223,190,F,47
224,191,M,25
225,191,M,12
226,192,M,24
227,192,F,24
228,193,M,36
229,194,F,42
230,194,F,23
231,195,M,31
232,196,M,39
233,197,F,27
234,198,F,41
235,199,M,48
236,200,F,61
237,201,M,19
238,202,F,5
239,203,F,11
240,204,F,53
241,205,F,18
242,206,M,55
243,207,F,28
244,208,M,40
245,209,F,42
246,210,F,22
247,211,F,13
248,212,M,18
249,213,F,18
250,214,F,44
251,215,F,41
252,216,F,42
253,217,M,37
254,218,T,37
255,218,M,13
256,219,F,48
257,220,F,20
258,221,F,39
259,222,M,40
260,222,M,56
261,223,M,44
262,224,M,72
263,225,F,46
264,225,F,33
265,226,F,20
266,227,F,45
267,227,F,18
268,228,M,8
269,229,F,21
270,230,M,31
271,231,M,13
272,231,M,36
273,232,M,45
274,233,T,25
275,234,F,46
276,235,F,41
277,236,F,26
278,237,M,34
279,238,T,49
280,239,F,33
281,240,M,29
282,241,F,27
283,242,F,10
284,243,F,45
285,244,M,39
286,245,F,27
287,246,F,20
288,247,M,31
289,248,F,40
290,249,F,24
291,250,M,75
292,251,F,27
293,252,M,30
294,252,M,29
295,253,F,54
296,254,M,42
297,255,F,23
298,256,M,31
299,257,F,39
300,258,F,38
301,259,F,58
302,259,F,38
303,260,F,30
304,261,F,50
305,262,F,25
306,262,M,35
307,263,M,41
308,263,F,51
309,264,F,42
310,265,M,25
311,266,F,35
312,267,M,21
313,268,F,25
314,269,M,48
315,269,F,40
316,270,M,32
317,271,F,39
318,272,M,22
319,273,F,24
320,274,M,59
321,275,M,22
322,276,M,10
323,277,F,39
324,278,F,49
325,279,F,49
326,279,F,39
327,280,F,46
328,281,M,36
329,282,F,48
330,283,M,52
331,284,M,30
332,285,F,30
333,286,M,17
334,287,F,43
335,288,F,13
336,289,F,31
337,290,M,37
338,291,F,15
339,292,F,26
340,293,F,40
341,294,M,5
342,295,F,58
343,296,M,15
344,297,M,5
345,298,F,25
346,298,F,27
347,299,F,28
348,300,F,22
349,301,M,29
350,302,M,51
351,303,F,17
352,304,F,37
353,305,F,11
354,305,M,9
355,306,M,37
356,307,M,25
357,308,F,27
358,309,F,14
359,310,M,46
360,311,F,31
361,312,M,45
362,313,M,43
363,314,M,23
364,315,F,44
365,316,F,42
366,317,F,30
367,318,F,30
368,319,F,9
369,320,M,51
370,321,M,18
371,322,M,43
372,323,M,68
373,324,M,28
374,325,F,56
375,326,F,14
376,327,M,23
377,328,M,29
378,329,F,28
379,330,F,42
380,331,F,19
381,331,M,48
382,332,M,22
383,333,F,43
384,334,M,32
385,335,F,25
386,336,F,23
387,337,F,59
388,338,M,53
389,339,M,30
390,340,F,13
391,341,F,30
392,342,M,44
393,343,M,40
394,344,M,32
395,345,M,48
396,346,M,36
397,347,M,14
398,347,F,21
399,348,M,16
400,348,F,37
401,349,F,38
402,350,M,45
403,351,M,32
404,351,F,43
405,352,F,29
406,352,F,20
407,353,M,35
408,354,F,27
409,355,M,23
410,356,F,52
411,357,F,19
412,358,M,43
413,359,M,36
414,360,F,30
415,361,M,29
416,362,F,49
417,363,F,38
418,364,M,19
419,364,F,5
420,365,F,33
421,366,F,40
422,367,M,25
423,368,M,22
424,369,M,43
425,369,F,49
426,370,M,32
427,371,M,48
428,372,M,5
429,373,F,63
430,374,F,18
431,375,M,54
432,376,F,27
433,377,M,30
434,378,F,18
435,379,F,50
436,380,F,47
437,381,M,17
438,382,M,23
439,382,F,34
440,383,F,55
441,384,M,5
442,385,F,46
443,385,M,49
444,386,M,33
445,387,M,30
446,388,M,15
447,389,F,42
448,390,F,39
449,391,F,28
450,392,F,42
451,393,F,51
452,394,M,15
453,394,F,37
454,395,M,43
455,396,M,9
456,397,F,41
457,398,M,22
458,399,M,18
459,399,F,41
460,400,F,20
461,401,M,36
462,402,F,42
463,403,M,36
464,404,F,41
465,405,F,32
466,406,M,57
467,407,F,46
468,408,M,40
469,409,M,35
470,410,F,34
471,411,F,62
472,412,F,34
473,412,M,39
474,413,F,62
475,414,F,28
476,415,M,44
477,416,F,47
478,417,F,40
479,418,F,31
480,419,F,29
481,419,M,5
482,420,M,23
483,421,F,42
484,422,M,37
485,423,F,31
486,424,F,23
487,425,F,37
488,426,F,34
489,427,M,9
490,428,F,36
491,429,F,38
492,430,F,10
493,431,M,51
494,432,M,62
495,433,F,40
496,434,F,12
497,434,F,41
498,435,F,29
499,436,M,58
500,437,T,60
501,437,F,29
502,438,F,24
503,439,T,72
504,440,M,23
505,441,F,45
506,441,T,39
507,442,F,45
508,442,F,40
509,443,F,8
510,444,M,6
511,445,M,41
512,446,M,51
513,447,M,28
514,448,F,56
515,449,F,63
516,450,F,40
517,451,F,21
518,452,M,40
519,453,M,11
520,454,F,19
521,455,M,36
522,456,M,27
523,457,M,75
524,458,M,37
525,459,M,26
526,460,M,44
527,461,M,41
528,462,F,23
529,463,F,35
530,464,T,38
531,465,M,14
532,465,F,12
533,466,M,42
534,467,F,30
535,468,F,34
536,469,M,47
537,470,F,60
538,471,M,41
539,472,M,49
540,473,M,50
541,474,M,29
542,475,F,16
543,476,M,11
544,477,F,5
545,478,F,31
546,479,M,42
547,480,M,42
548,481,M,14
549,482,M,40
550,483,F,45
551,484,F,19
552,485,F,51
553,486,M,46
554,487,M,5
555,488,M,49
556,489,M,8
557,490,F,31
558,491,F,24
559,492,F,8
560,493,F,14
561,493,M,43
562,494,F,21
563,495,F,15
564,495,M,42
565,496,M,43
566,497,M,70
567,498,F,20
568,499,M,32
569,500,M,31
570,501,F,11
571,502,F,29
572,502,M,48
573,503,M,58
574,504,M,25
575,505,F,45
576,506,M,31
577,507,F,22
578,508,F,11
579,509,F,48
580,510,M,42
581,511,F,44
582,512,F,41
583,513,M,34
584,514,F,48
585,515,F,37
586,516,F,48
587,517,M,35
588,518,F,40
589,519,F,43
590,520,F,58
591,521,M,37
592,522,M,26
593,523,F,26
594,524,M,20
595,525,M,25
596,526,F,36
597,526,T,27
598,527,F,21
599,527,M,49
600,528,M,48
601,529,F,30
602,530,F,15
603,531,F,7
604,532,F,30
605,533,M,37
606,533,F,20
607,534,F,34
608,535,F,5
609,536,F,42
610,537,F,39
611,538,M,34
612,538,M,32
613,539,F,35
614,540,F,49
615,541,M,50
616,542,M,41
617,543,M,14
618,544,M,35
619,545,M,53
620,546,F,25
621,546,F,35
622,547,M,58
623,548,M,29
624,549,M,51
625,550,M,57
626,551,M,45
627,552,F,8
628,553,F,50
629,553,M,37
630,554,F,16
631,555,M,14
632,556,F,36
633,557,M,22
634,558,F,16
635,559,M,18
636,560,F,38
637,560,M,41
638,561,F,45
639,562,M,42
640,563,F,50
641,564,M,36
642,565,F,22
643,566,M,20
644,567,M,32
645,567,T,44
646,568,M,36
647,569,F,34
648,570,F,18
649,571,F,25
650,572,F,45
651,573,F,46
652,574,M,22
653,575,M,15
654,576,F,36
655,577,M,29
656,578,M,21
657,579,M,40
658,580,M,35
659,581,F,29
660,582,M,43
661,583,F,22
662,583,M,39
663,584,M,34
664,584,F,31
665,585,M,37
666,585,M,45
667,586,M,40
668,587,F,39
669,588,F,27
670,589,T,25
671,589,M,44
672,590,M,35
673,591,M,37
674,592,M,5
675,593,M,18
676,594,F,46
677,595,F,33
678,595,F,59
679,596,M,32
680,597,M,28
681,598,F,29
682,598,F,48
683,599,M,39
684,600,M,57
685,601,M,38
686,601,M,41
687,602,F,29
688,603,F,44
689,604,F,21
690,605,M,31
691,606,F,45
692,607,M,37
693,608,F,22
694,609,F,38
695,610,F,34
696,611,M,18
697,612,F,33
698,612,T,57
699,613,M,45
700,614,F,31
701,615,M,74
702,616,F,56
703,616,F,36
704,617,M,6
705,618,F,29
706,619,F,25
707,620,M,25
708,621,F,30
709,622,M,13
710,623,F,25
711,624,F,7
712,625,F,32
713,626,F,25
714,627,M,8
715,628,M,31
716,629,F,12
717,630,F,30
718,631,F,28
719,632,F,42
720,632,M,46
721,633,F,49
722,634,F,50
723,634,M,29
724,635,M,26
725,636,F,23
726,637,M,52
727,638,F,21
728,639,F,11
729,640,M,21
730,640,F,43
731,641,F,36
732,642,M,29
733,643,M,30
734,644,F,26
735,645,M,29
736,646,F,29
737,646,F,25
738,647,M,46
739,648,M,35
740,649,F,47
741,649,M,45
742,650,F,32
743,651,F,47
744,652,F,30
745,653,F,39
746,654,M,9
747,655,M,68
748,656,F,36
749,657,M,64
750,658,F,33
751,659,F,38
752,660,F,32
753,661,F,33
754,662,M,48
755,663,M,6
756,664,F,25
757,664,M,23
758,665,F,18
759,666,M,60
760,667,M,46
761,668,F,28
762,669,M,40
763,670,F,14
764,671,M,22
765,672,M,35
766,673,F,5
767,674,F,42
768,675,M,47
769,675,M,77
770,676,M,18
771,677,M,32
772,678,M,39
773,679,M,25
774,680,F,22
775,681,F,25
776,682,F,32
777,683,F,62
778,684,F,5
779,684,M,56
780,685,F,27
781,686,F,37
782,687,M,24
783,688,M,43
784,688,M,44
785,689,M,47
786,690,F,39
787,691,F,24
788,692,M,24
789,693,M,32
790,694,M,24
791,695,F,42
792,696,M,32
793,697,F,28
794,698,M,8
795,699,M,30
796,700,M,38
797,701,F,71
798,702,M,38
799,703,M,26
800,703,F,45
801,704,M,38
802,705,M,42
803,705,F,21
804,706,M,33
805,707,F,49
806,708,M,34
807,709,F,49
808,709,F,25
809,710,F,16
810,711,M,64
811,712,T,51
812,713,F,38
813,714,M,53
814,715,F,31
815,716,M,48
816,716,M,26
817,717,F,58
818,718,M,32
819,719,F,35
820,719,M,19
821,720,M,41
822,721,M,18
823,722,M,22
824,723,F,27
825,723,F,21
826,724,F,28
827,725,M,32
828,726,F,25
829,727,M,16
830,728,F,25
831,729,F,26
832,730,F,20
833,731,F,38
834,732,F,22
835,733,F,20
836,734,F,10
837,735,M,32
838,735,M,44
839,736,M,19
840,737,M,36
841,738,F,36
842,739,M,30
843,739,M,58
844,740,F,27
845,741,F,46
846,742,M,27
847,743,F,39
848,744,M,30
849,745,F,19
850,745,F,11
851,746,M,39
852,747,F,37
853,748,F,40
854,749,M,27
855,749,M,50
856,750,F,30
857,751,M,69
858,752,F,26
859,753,F,56
860,754,M,6
861,755,F,41
862,756,M,31
863,757,M,46
864,757,M,25
865,758,T,10
866,759,M,26
867,760,F,50
868,761,F,52
869,761,F,30
870,762,M,19
871,763,F,44
872,763,M,53
873,764,F,29
874,765,M,24
875,766,T,17
876,767,M,14
877,768,M,43
878,769,F,50
879,770,F,40
880,771,F,17
881,772,T,55
882,773,M,30
883,774,F,48
884,775,F,20
885,776,M,40
886,777,F,46
887,778,F,51
888,779,F,42
889,779,F,33
890,780,F,43
891,781,F,5
892,781,M,56
893,782,F,59
894,783,M,30
895,784,F,29
896,785,F,29
897,785,F,7
898,786,M,13
899,787,F,26
900,788,F,35
901,789,M,52
902,789,F,33
903,790,M,38
904,791,F,27
905,792,F,19
906,792,F,46
907,793,F,41
908,794,M,31
909,795,F,34
910,796,M,28
911,797,F,26
912,798,F,10
913,799,M,28
914,800,F,19
915,801,M,39
916,802,M,17
917,803,F,38
918,804,M,49
919,805,M,43
920,806,F,26
921,807,F,40
922,808,M,23
923,809,F,47
924,810,F,16
925,810,F,60
926,811,F,28
927,812,M,20
928,813,M,5
929,813,F,37
930,814,M,57
931,815,M,17
932,815,M,45
933,816,F,7
934,817,M,16
935,818,M,33
936,819,M,31
937,820,M,65
938,821,F,56
939,822,F,51
940,823,F,66
941,824,F,35
942,825,M,39
943,825,M,35
944,826,M,32
945,827,F,62
946,828,F,23
947,829,F,35
948,830,F,53
949,831,M,64
950,832,F,15
951,833,M,60
952,833,M,29
953,834,M,52
954,834,M,35
955,835,F,48
956,836,F,31
957,837,M,67
958,838,M,60
959,838,F,48
960,839,F,27
961,839,M,28
962,840,M,37
963,841,F,15
964,842,F,50
965,843,F,35
966,844,M,27
967,844,M,25
968,845,F,35
969,846,F,46
970,847,F,28
971,847,M,18
972,848,M,31
973,849,F,35
974,850,M,39
975,851,F,43
976,852,F,44
977,852,M,42
978,853,M,39
979,854,M,22
980,855,M,58
981,856,M,21
982,857,M,34
983,858,M,38
984,859,M,19
985,859,F,47
986,860,M,21
987,861,M,34
988,862,F,52
989,863,M,68
990,864,M,11
991,864,F,14
992,865,M,64
993,865,M,24
994,866,M,17
995,867,F,52
996,868,M,19
997,869,M,49
998,870,M,29
999,871,F,41
1000,872,M,24
1001,873,F,38
1002,874,M,49
1003,875,F,22
1004,876,F,30
1005,877,M,38
1006,878,M,58
1007,879,F,33
1008,880,F,47
1009,881,T,37
1010,882,M,15
1011,883,M,48
1012,884,F,39
1013,885,F,22
1014,886,M,37
1015,887,F,47
1016,888,M,60
1017,889,M,58
1018,890,F,23
1019,891,F,14
1020,892,F,5
1021,893,F,29
1022,894,M,27
1023,895,M,37
1024,896,F,32
1025,897,F,10
1026,898,F,26
1027,899,F,41
1028,899,F,41
1029,900,F,38
1030,901,M,28
1031,902,M,58
1032,902,F,54
1033,903,M,16
1034,904,M,5
1035,905,F,39
1036,906,M,17
1037,907,M,23
1038,908,F,33
1039,909,M,36
1040,909,M,43
1041,910,M,32
1042,911,F,28
1043,912,M,36
1044,913,F,54
1045,914,F,24
1046,915,F,39
1047,916,M,7
1048,917,F,34
1049,918,M,9
1050,919,M,13
1051,919,F,13
1052,920,F,58
1053,921,F,47
1054,922,F,14
1055,923,F,60
1056,924,F,45
1057,925,F,65
1058,926,F,39
1059,927,M,25
1060,928,F,44
1061,929,F,35
1062,930,M,45
1063,931,T,22
1064,931,F,25
1065,932,M,23
1066,933,M,40
1067,934,M,51
1068,935,F,18
1069,936,M,50
1070,937,T,26
1071,937,M,47
1072,938,M,51
1073,939,F,41
1074,940,F,24
1075,940,M,40
1076,941,F,20
1077,941,F,38
1078,942,M,41
1079,943,F,28
1080,944,F,5
1081,945,M,53
1082,946,M,49
1083,947,F,29
1084,947,F,47
1085,948,M,54
1086,948,F,42
1087,949,M,43
1088,950,F,31
1089,951,M,42
1090,951,F,5
1091,952,F,47
1092,953,F,59
1093,954,M,33
1094,955,M,21
1095,956,M,24
1096,956,F,19
1097,957,M,30
1098,957,M,29
1099,958,F,50
1100,959,F,32
1101,960,T,46
1102,961,F,41
1103,962,M,43
1104,963,M,48
1105,964,F,27
1106,965,M,25
1107,965,F,49
1108,966,M,6
1109,967,F,27
1110,968,F,53
1111,969,F,58
1112,970,F,27
1113,971,F,54
1114,972,F,11
1115,973,M,55
1116,973,T,68
1117,974,F,27
1118,975,M,48
1119,976,F,30
1120,977,F,38
1121,978,M,47
1122,979,F,33
1123,980,F,44
